Year,Month,Day,Weekday,Start Time,Event Name,Venue
2015,07,18,土,13:30,城下町のダンデライオン ３話までの上映会,TOHOシネマズ六本木ヒルズ
2015,06,21,日,16:00,KING SUPER LIVE 2015（2日目）,さいたまスーパーアリーナ
2015,06,20,土,16:00,KING SUPER LIVE 2015（1日目）,さいたまスーパーアリーナ
2015,03,21,土,13:25,AnimeJapan 2015 1日目 BLUEステージ Program 4 ウルトラスーパーピクチャーズ スペシャルステージ,東京ビッグサイト(東京国際展示場)
2015,02,22,日,17:30,クロスアンジュ 天使と竜の祭（フェスタ）,パシフィコ横浜  国立大ホール
2014,12,07,日,18:30,animelo mix presents ゆいかおりLIVE TOUR「HEARTY PARTY!!」 幕張公演,幕張メッセ イベントホール
2014,11,29,土,18:30,animelo mix presents ゆいかおりLIVE TOUR「HEARTY PARTY!!」 大阪公演,オリックス劇場
2014,11,22,土,18:30,animelo mix presents ゆいかおりLIVE TOUR「HEARTY PARTY!!」 名古屋公演,名古屋国際会議場 センチュリーホール
2014,09,23,火,19:00,『クロスアンジュ 天使と竜の輪舞』第1話プレミア上映会,新宿ミラノ1(旧 新宿ミラノ座)(閉館)
2014,08,31,日,16:00,Animelo Summer Live 2014 -ONENESS- 3日目,さいたまスーパーアリーナ
2014,08,16,土,14:30,ゆいかおり9thシングル「Intro Situation」発売記念イベントゆいかおりBIRTHDAY SPECIAL LIVE「INTRODUCTION!!」昼の部,AiiA 2.5 Theater Tokyo(閉館)
2014,08,16,土,18:00,ゆいかおり9thシングル「Intro Situation」発売記念イベントゆいかおりBIRTHDAY SPECIAL LIVE「INTRODUCTION!!」夜の部,AiiA 2.5 Theater Tokyo(閉館)
2014,06,16,月,19:00,「MUSIC JAPAN」番組観覧 2014年6月16日,NHKホール
2014,05,24,土,18:00,ゆいかおり8thシングル「LUCKY DUCKY!!」発売記念イベント SPECIAL LIVE「LUCKY TUNES!!」 夜の部,ディファ有明(閉館)
2014,05,24,土,14:30,ゆいかおり8thシングル「LUCKY DUCKY!!」発売記念イベント SPECIAL LIVE「LUCKY TUNES!!」 昼の部,ディファ有明(閉館)
2014,02,02,日,18:00,ゆいかおりLIVE「BUNNY FLASH!!」,パシフィコ横浜  国立大ホール
2014,02,02,日,14:00,ゆいかおりLIVE「BUNNY FLASH!!」 追加公演,パシフィコ横浜  国立大ホール
2013,11,17,日,18:00,～「ゆいかおりの実♪デジタル」公開録音&ミニライブ～＜夜の部＞,日本教育会館 一ツ橋ホール
2013,11,17,日,14:30,～「ゆいかおりの実♪デジタル」公開録音&ミニライブ～＜昼の部＞,日本教育会館 一ツ橋ホール
2013,09,08,日,18:00,「変態王子と笑わない猫。」スペシャルイベント『猫神祭』,舞浜アンフィシアター
