Year,Month,Day,Weekday,Start Time,Event Name,Venue
2016,12,03,土,13:30,映画『ポッピンQ』公開直前プレミアムイベント"スーパー・プレミアム・ミーティング" 第1部,品川プリンスホテル ステラボール
2016,12,03,土,18:00,映画『ポッピンQ』公開直前プレミアムイベント"スーパー・プレミアム・ミーティング" 第2部,品川プリンスホテル ステラボール
2016,11,26,土,16:30,FFK9 石原夏織 TalkShow,高雄駁二藝術特區
2016,10,30,日,14:00,金元寿子と川上千尋のテラ娘屋〜秋の朗読会2016〜 昼の部,YMCAアジア青少年センター スペースYホール
2016,10,30,日,19:00,美佳子＠ぱよぱよ公開録音　ゲスト：石原夏織さん,町屋ムーブホール
2016,09,11,日,16:00,グリモア2周年記念 メモリアルイベント2016,日本科学未来館 7F未来館ホール
2016,09,04,日,17:00,ゆいかおりニューシングル「Promise You!!」発売記念イベント ＜第2部＞,ラフォーレミュージアム六本木(閉館)
2016,09,04,日,14:00,ゆいかおりニューシングル「Promise You!!」発売記念イベント ＜第1部＞,ラフォーレミュージアム六本木(閉館)
2016,08,28,日,16:00,Animelo Summer Live 2016 刻-TOKI- 3日目,さいたまスーパーアリーナ
2016,05,05,木,11:00,マチ★アソビ Vol.16 3日目 「オリジナルアニメーション映画『ポッピンQ』公開説明会」,新町橋東公園ステージ
2016,05,05,木,14:30,マチ★アソビ vol.16 3日目 「ポッピンQ」スペシャルトークショー,ufotable CINEMA
2016,04,03,日,15:30,『ガッチャマン クラウズ インサイト』イベント（昼の部）,ヤクルトホール(閉館)
2016,04,03,日,18:00,『ガッチャマン クラウズ インサイト』イベント（夜の部）,ヤクルトホール(閉館)
2016,03,26,土,20:00,『かおりとあさみのグリラジ!!』公開収録,新宿シアターモリエール
2016,03,12,土,17:35,ゆいかおりLIVE「RAINBOW CANARY!!」～Brightest Stage～,日本武道館
2016,01,24,日,14:30,城下町のダンデライオン スペシャルイベント (昼の部),品川インターシティホール
2016,01,24,日,18:30,城下町のダンデライオン スペシャルイベント (夜の部),品川インターシティホール
